,2
1,2
21,2
11,6
214,2
211,2
111,24
3215,2
2215,2
2211,8
2141,2
2111,6
1111,120
32156,2
32155,2
32151,1
22216,6
22155,8
22151,2
22111,12
21416,6
21411,4
21111,24
11111,720
432167,2
332167,2
332166,8
322167,1
322166,2
322161,2
321651,2
321555,6
321551,2
321517,2
321511,2
222217,24
222166,12
222161,6
222111,72
221551,8
221517,4
221511,4
221111,48
214161,6
214111,12
211111,120
111111,5040
4321678,2
4321677,2
4321676,1
4321761,1
3332178,6
3322178,2
3321677,8
3321676,2
3321761,2
3321666,12
3321661,4
3321618,4
3321611,4
3252178,2
3222178,2
3221676,2
3221761,1
3221666,6
3221661,2
3221618,2
3221611,2
3216518,2
3216511,4
3215555,24
3215551,6
3215518,2
3215511,4
3215171,2
3215111,6
2222218,120
2222177,48
2222171,24
2221666,72
2221661,12
2221618,12
2221611,12
2221111,144
2215518,8
2215511,16
2215171,4
2215111,12
2211111,240
2141618,24
2141611,12
2141111,48
2111111,720
1111111,40320
54321789,2
44321789,2
44321788,8
43321789,1
43321788,2
43321787,2
43221789,1
43221788,2
43221787,1
43221871,2
43218761,2
43216777,6
43216776,2
43217761,2
43216769,2
43216766,2
43217661,1
43217619,1
43217611,2
33332189,24
33322189,6
33321788,12
33321787,6
33321871,6
33321777,72
33262189,2
33222189,4
33221788,4
33221787,2
33221871,2
33221777,12
33221771,8
33217761,8
33216769,4
33216766,4
33217661,2
33217619,2
33217611,4
33216666,48
33216661,12
33216619,4
33216611,8
33216181,4
33216111,12
32522189,2
32521787,2
32521871,2
32521777,12
32521771,4
32521719,8
32222189,6
32221787,2
32221871,2
32221777,12
32221771,4
32221719,4
32221711,8
32217661,2
32217619,1
32217611,2
32216666,24
32216661,6
32216619,2
32216611,4
32216181,2
32216111,6
32165189,6
32165188,4
32165181,2
32165111,12
32155555,120
32155551,24
32155519,6
32155511,12
32155188,8
32155181,2
32155111,12
32151719,6
32151711,4
32151111,24
22222219,720
22222188,240
22222181,120
22221777,144
22221771,48
22221719,48
22221711,48
22221111,1152
22216661,72
22216619,12
22216611,24
22216181,12
22216111,36
22211111,720
22155188,48
22155181,8
22155111,48
22151719,12
22151711,8
22151111,48
22111111,1440
21416181,24
21416111,36
21411111,240
21111111,5040
11111111,362880
54321789a,2
543217899,2
543217898,1
543217987,1
543219871,1
44432189a,6
44332189a,2
44322189a,2
443217899,8
443217898,2
443217987,2
443219871,2
443217888,12
443217887,4
443218871,4
44321787a,4
443217877,4
443218771,2
44321871a,2
443218711,4
43632189a,2
43332189a,2
43322189a,1
433217898,2
433217987,1
433219871,1
433217888,6
433217887,2
433218871,2
43321787a,2
433217877,2
433218771,1
43321871a,1
433218711,2
43262189a,1
43222189a,2
432217987,2
432219871,1
432217888,6
432217887,2
432218871,2
43221787a,2
432217877,2
432218771,1
43221871a,1
432218711,2
43218761a,2
432187611,4
432167777,24
432167776,6
432177761,6
43216776a,2
432167766,4
432177661,2
43217761a,2
432177611,4
432167696,2
432176961,2
432167666,6
432176661,2
43217661a,1
432176611,2
43217619a,2
432176199,2
432176191,1
432176111,6
33333219a,120
33332219a,24
333321899,48
333321898,24
333321981,24
33327219a,6
33322219a,12
333221899,12
333221898,6
333221981,6
333217888,72
333217887,12
333218871,12
33321787a,12
333217877,12
333218771,6
33321871a,6
333218711,12
333217777,144
333217771,36
33321771a,12
333217711,24
333217191,12
333217111,36
33266219a,8
33262219a,2
332621899,4
332621898,2
332621981,2
33222219a,12
332221899,8
332221898,4
332221981,4
332217887,8
332218871,4
33221787a,4
332217877,4
332218771,2
33221871a,2
332218711,4
332217777,48
332217771,12
33221771a,4
332217711,8
332217191,4
332217111,12
33217761a,8
332177611,16
332167696,4
332176961,4
332167666,12
332176661,4
33217661a,2
332176611,4
33217619a,4
332176199,4
332176191,2
332176111,12
332166666,240
332166661,48
33216661a,12
332166611,24
332166199,16
332166191,4
332166111,24
33216181a,12
332161811,8
332161111,48
32527219a,6
32522219a,4
325221898,2
325221981,2
32521787a,8
325217877,4
325218771,2
32521871a,2
325218711,4
325217777,48
325217771,12
32521771a,4
325217711,8
325217191,4
325217111,12
32222219a,24
322221898,6
322221981,6
322217877,8
322218771,2
32221871a,2
322218711,4
322217777,48
322217771,12
32221771a,4
322217711,8
322217191,4
322217111,12
32217661a,2
322176611,4
32217619a,2
322176199,2
322176191,1
322176111,6
322166666,120
322166661,24
32216661a,6
322166611,12
322166199,8
322166191,2
322166111,12
32216181a,6
322161811,4
322161111,24
321651981,6
321651888,12
321651881,4
32165181a,4
321651811,4
321651111,48
321555555,720
321555551,120
32155551a,24
321555511,48
321555199,12
321555191,6
321555111,36
321551881,8
32155181a,4
321551811,4
321551111,48
321517191,6
321517111,12
321511111,120
22222221a,5040
222222199,1440
222222191,720
222221888,720
222221881,240
22222181a,240
222221811,240
222217777,1152
222217771,144
22221771a,48
222217711,96
222217191,48
222217111,144
222211111,2880
22216661a,72
222166611,144
222166199,48
222166191,12
222166111,72
22216181a,36
222161811,24
222161111,144
222111111,4320
221551881,48
